iter	RMSE
0	1678128.586
1	1639725.152
2	1603281.179
3	1571613.522
4	1531657.715
5	1492527.61
6	1456049.822
7	1422424.364
8	1392868.584
9	1360730.361
10	1328985.759
11	1297804.621
12	1262544.544
13	1232550.818
14	1197716.126
15	1172857.7
16	1148758.487
17	1125775.107
18	1095768.134
19	1071026.23
20	1046816.271
21	1021520.796
22	1004955.213
23	986922.7416
24	962573.7463
25	940823.4835
26	922838.407
27	902903.6221
28	881389.8549
29	859525.4681
30	847400.528
31	828223.592
32	810668.4435
33	789745.3679
34	774466.7134
35	757271.2589
36	741961.2844
37	725108.2852
38	707002.3612
39	693190.8027
40	679083.052
41	663223.4694
42	649228.8766
43	637586.8991
44	624241.3298
45	612594.2541
46	602016.7265
47	588723.9606
48	581000.3172
49	569458.7849
50	558315.7162
51	546888.8577
52	536525.756
53	525619.0457
54	517934.3593
55	506766.2403
56	496790.2313
57	488079.8133
58	478197.8135
59	470867.6709
60	466141.5453
61	457494.9975
62	450534.1065
63	442382.5938
64	435000.9726
65	426388.5437
66	418791.9299
67	410351.8348
68	404091.381
69	397194.5528
70	389645.9912
71	383879.0333
72	378598.7356
73	373331.0888
74	367775.7423
75	364512.3054
76	359208.9927
77	352818.0834
78	348368.4503
79	345808.25
80	341225.1423
81	336061.0276
82	331020.1276
83	326171.3219
84	320520.6289
85	316225.2197
86	311953.7239
87	306624.6903
88	302660.2779
89	297362.4534
90	294383.9336
91	292179.5956
92	287057.26
93	284633.3137
94	282036.8442
95	279407.3338
96	275398.5514
97	271177.5718
98	267509.6797
99	264608.976
100	260905.6629
101	258749.9333
102	256514.7464
103	254361.8751
104	252333.4697
105	250020.9894
106	247336.4193
107	244517.1726
108	242605.3378
109	239743.4746
110	238031.5495
111	235478.8658
112	233777.6246
113	232068.7488
114	229311.9345
115	227287.5382
116	225618.6356
117	223556.4625
118	222050.3908
119	220624.889
120	217022.6444
121	215403.9273
122	212212.7912
123	209750.7024
124	208112.335
125	206686.045
126	205024.5461
127	203504.4375
128	201319.8421
129	199603.5295
130	198156.2226
131	196789.2051
132	193941.1575
133	192500.5245
134	191187.2215
135	188805.4157
136	186666.4239
137	184774.5564
138	183473.8908
139	182301.317
140	181067.2165
141	179682.9427
142	178428.4301
143	176411.2473
144	175205.6308
145	173988.3477
146	172854.2799
147	171690.0562
148	170772.7978
149	169607.5264
150	168462.0813
151	167503.5599
152	166341.7952
153	165416.9622
154	164294.3981
155	162302.3681
156	161377.8733
157	160415.1992
158	159331.8937
159	158444.1394
160	156489.8987
161	155546.3131
162	154556.8228
163	153837.784
164	152895.6316
165	151379.7348
166	150314.2618
167	149483.1029
168	148376.6179
169	147350.0224
170	146514.274
171	144636.4209
172	143824.2714
173	142984.862
174	142230.9919
175	141428.192
176	140520.8383
177	139676.565
178	138850.8492
179	138090.1179
180	137359.0004
181	136598.458
182	134802.4772
183	134190.0183
184	133528.4472
185	132850.5331
186	131381.3393
187	129678.5545
188	128940.6195
189	128270.7292
190	127533.9741
191	126949.0407
192	126345.5734
193	125652.3001
194	125097.417
195	123802.6105
196	123236.8848
197	122666.7417
198	122132.5427
199	121589.6605
200	121035.2841
201	120482.783
202	120012.1745
203	119396.8246
204	118902.787
205	118383.5765
206	117853.7919
207	116431.883
208	114947.6414
209	114452.9098
210	113994.416
211	113504.9901
212	113071.3013
213	112641.8123
214	112173.2265
215	111729.5041
216	111281.7102
217	110009.698
218	109592.8832
219	109125.0401
220	108736.478
221	107400.6921
222	106936.4757
223	106557.7621
224	106188.1499
225	105779.777
226	104569.9031
227	103393.6313
228	103018.3708
229	101886.7586
230	101468.4911
231	100350.8997
232	99207.24533
233	98635.33724
