iter	Passed	Remaining
0	3	3391
1	9	4656
2	14	4820
3	20	5095
4	26	5249
5	31	5222
6	38	5485
7	44	5459
8	49	5426
9	55	5460
10	60	5460
11	66	5445
12	71	5404
13	76	5421
14	82	5394
15	87	5366
16	92	5332
17	98	5373
18	102	5293
19	107	5279
20	112	5264
21	118	5253
22	123	5236
23	129	5257
24	134	5251
25	140	5249
26	143	5175
27	146	5100
28	150	5030
29	153	4955
30	156	4891
31	159	4820
32	162	4754
33	165	4693
34	167	4629
35	170	4578
36	174	4535
37	177	4491
38	180	4442
39	183	4396
40	186	4352
41	188	4310
42	191	4266
43	194	4228
44	198	4209
45	201	4180
46	204	4142
47	207	4106
48	210	4078
49	212	4045
50	216	4020
51	218	3988
52	221	3963
53	224	3932
54	227	3907
55	230	3881
56	232	3854
57	236	3834
58	238	3807
59	241	3787
60	244	3765
61	247	3743
62	250	3719
63	252	3698
64	255	3675
65	258	3656
66	261	3640
67	264	3621
68	267	3605
69	269	3586
70	273	3572
71	276	3561
72	278	3541
73	282	3531
74	285	3517
75	287	3500
76	290	3485
77	293	3471
78	296	3456
79	299	3441
80	302	3427
81	304	3414
82	307	3402
83	310	3387
84	313	3372
85	316	3358
86	318	3343
87	321	3333
88	324	3324
89	327	3311
90	330	3298
91	332	3284
92	335	3272
93	338	3260
94	341	3250
95	344	3241
96	346	3230
97	349	3218
98	352	3208
99	355	3195
100	357	3186
101	361	3179
102	364	3170
103	366	3161
104	369	3151
105	372	3140
106	375	3130
107	377	3121
108	396	3242
109	399	3235
110	402	3226
111	405	3214
112	408	3202
113	410	3193
114	413	3185
115	416	3176
116	419	3166
117	422	3156
118	424	3145
119	427	3132
120	429	3123
121	432	3113
122	435	3104
123	438	3095
124	440	3086
125	443	3077
126	446	3067
127	448	3058
128	451	3049
129	454	3040
130	457	3032
131	459	3021
132	462	3013
133	464	3004
134	467	2996
135	470	2987
136	473	2980
137	476	2974
138	479	2967
139	481	2959
140	484	2951
141	487	2943
142	490	2937
143	492	2929
144	495	2923
145	498	2917
146	501	2910
147	504	2904
148	506	2893
149	509	2885
150	511	2878
151	514	2871
152	517	2863
153	519	2851
154	521	2842
