bathrooms,lotAreaUnit,state,isFeatured,isPremierBuilder,isShowcaseListing,isPreforeclosureAuction,longitude,isNonOwnerOccupied,lotAreaValue,country,livingArea,priceChange,homeStatus,daysOnZillow,latitude,isUnmappable,bedrooms,zpid,homeStatusForHDP,isZillowOwned,shouldHighlight,streetAddress,priceReduction,listing_sub_type,price,city,datePriceChanged,homeType,currency,zipcode,priceForHDP,taxAssessedValue,rentZestimate,zestimate,open_house_info,openHouse,unit
4.0,sqft,RI,False,False,False,False,-71.39835,True,5000.0,USA,2438.0,-20000.0,FOR_SALE,-1,41.84161,False,3.0,2060738459,FOR_SALE,False,False,555 Hope St,"$20,000 (Jul 15)",{'is_FSBA': True},869900,Providence,1689404400000.0,CONDO,USD,02906,869900,,,,,,
2.0,acres,RI,False,False,False,False,-71.60583,True,4.2399908172635,USA,2803.0,,FOR_SALE,-1,41.823784,False,4.0,66078586,FOR_SALE,False,False,108 Battey Meetinghouse Rd,,{'is_FSBA': True},435000,Scituate,,SINGLE_FAMILY,USD,02857,435000,280400.0,3499.0,450700.0,,,
1.0,sqft,RI,False,False,False,False,-71.461876,True,8100.0,USA,1428.0,,FOR_SALE,-1,41.776546,False,3.0,65965418,FOR_SALE,False,False,124 Hazelton St,,{'is_FSBA': True},489900,Cranston,,SINGLE_FAMILY,USD,02920,489900,174400.0,,,,,
2.0,sqft,RI,False,False,False,False,-71.399925,True,7400.0,USA,1688.0,,FOR_SALE,-1,41.749004,False,3.0,66006856,FOR_SALE,False,False,270 N Country Club Dr,,"{'is_FSBA': True, 'is_openHouse': True}",394000,Warwick,,SINGLE_FAMILY,USD,02888,394000,219200.0,2729.0,409600.0,"{'open_house_showing': [{'open_house_start': 1689638400000, 'open_house_end': 1689643800000}, {'open_house_start': 1689809400000, 'open_house_end': 1689814800000}]}",Mon. 5-6:30pm,
2.0,acres,RI,False,False,False,False,-71.56297,True,0.31198347107438,USA,2200.0,,FOR_SALE,-1,41.73199,False,6.0,66081566,FOR_SALE,False,False,34 Main St,,{'is_FSBA': True},499900,Hope,,MULTI_FAMILY,USD,02831,499900,178000.0,2269.0,504200.0,,,
2.0,sqft,RI,False,False,False,False,-71.30002,True,6969.0,USA,1507.0,,FOR_SALE,-1,41.505947,False,4.0,65813345,FOR_SALE,False,False,36 Miantonomi Ave,,"{'is_FSBA': True, 'is_openHouse': True}",549000,Middletown,,SINGLE_FAMILY,USD,02842,549000,289200.0,,,"{'open_house_showing': [{'open_house_start': 1689534000000, 'open_house_end': 1689541200000}]}",Sun. 12-2pm,
3.0,,RI,False,False,False,False,-71.466805,True,,USA,1400.0,-14001.0,FOR_SALE,-1,41.864643,False,3.0,66099441,FOR_SALE,False,False,626 Smithfield Rd APT 914,"$14,001 (Jul 14)",{'is_FSBA': True},364999,North Providence,1689318000000.0,CONDO,USD,02904,364999,207800.0,2182.0,334800.0,,,Apt 914
1.0,sqft,RI,False,False,False,False,-71.57248,True,8276.0,USA,864.0,,FOR_SALE,-1,41.17806,False,2.0,65905852,FOR_SALE,False,False,1299 Ocean Ave,,{'is_FSBA': True},995000,Block Island,,SINGLE_FAMILY,USD,02807,995000,638720.0,3603.0,1004800.0,,,
2.0,acres,RI,False,False,False,False,-71.51182,True,0.26999540863177,USA,1852.0,,FOR_SALE,-1,41.674294,False,3.0,65868029,FOR_SALE,False,False,24 Surrey Ln,,{'is_FSBA': True},479900,West Warwick,,SINGLE_FAMILY,USD,02893,479900,232100.0,2429.0,503000.0,,,
1.0,acres,RI,False,False,False,False,-71.46372,True,0.46000918273646,USA,1482.0,,FOR_SALE,-1,41.971653,False,3.0,65955406,FOR_SALE,False,False,90 Mount Pleasant View Ave,,"{'is_FSBA': True, 'is_openHouse': True}",475000,Cumberland,,SINGLE_FAMILY,USD,02864,475000,264700.0,2429.0,489700.0,"{'open_house_showing': [{'open_house_start': 1689534000000, 'open_house_end': 1689541200000}]}",Sun. 12-2pm,
5.0,acres,RI,False,False,False,False,-71.206,True,1.15,USA,4634.0,,FOR_SALE,-1,41.63414,False,4.0,66070467,FOR_SALE,False,False,37 Daniel T Church Rd,,{'is_FSBA': True},1295000,Tiverton,,SINGLE_FAMILY,USD,02878,1295000,611500.0,4963.0,1308300.0,,,
2.0,acres,RI,False,False,False,False,-71.690445,True,0.3989898989899,USA,1144.0,,FOR_SALE,-1,41.879894,False,3.0,65803651,FOR_SALE,False,False,17 Sunrise Ter,,"{'is_FSBA': True, 'is_openHouse': True}",449000,Glocester,,SINGLE_FAMILY,USD,02814,449000,310000.0,,,"{'open_house_showing': [{'open_house_start': 1689633000000, 'open_house_end': 1689640200000}]}",Mon. 3:30-5:30pm,
2.0,acres,RI,False,False,False,False,-71.6264,True,5.1,USA,1368.0,,FOR_SALE,-1,41.464638,False,2.0,65984450,FOR_SALE,False,False,218 Shannock Hill Rd,,"{'is_FSBA': True, 'is_openHouse': True}",500000,Richmond,,SINGLE_FAMILY,USD,02892,500000,279100.0,,,"{'open_house_showing': [{'open_house_start': 1689534000000, 'open_house_end': 1689541200000}]}",Sun. 12-2pm,
