bathrooms,state,isFeatured,isPremierBuilder,isShowcaseListing,isPreforeclosureAuction,longitude,isNonOwnerOccupied,lotAreaUnit,lotAreaValue,homeStatus,daysOnZillow,latitude,country,bedrooms,livingArea,streetAddress,isZillowOwned,shouldHighlight,zpid,homeStatusForHDP,isUnmappable,listing_sub_type,city,price,homeType,currency,zipcode,priceForHDP,taxAssessedValue,rentZestimate,zestimate,priceChange,datePriceChanged,priceReduction,unit,open_house_info,openHouse,videoCount,newConstructionType,priceSuffix,group_type,providerListingID
1,RI,False,False,False,False,-71.73345,True,acres,2.8,FOR_SALE,-1,41.418095,USA,3,954,28 Burdickville Rd,False,False,2055535222,FOR_SALE,False,{'is_FSBA': True},Hopkinton,269900,SINGLE_FAMILY,USD,02833,269900,,,,,,,,,,,,,,
1,RI,False,False,False,False,-71.14842,True,acres,0.25,FOR_SALE,-1,41.634296,USA,2,1207,1031 Old Stafford Rd,False,False,65936601,FOR_SALE,False,{'is_FSBA': True},Tiverton,385000,SINGLE_FAMILY,USD,02878,385000,372400.0,2559.0,379500.0,,,,,,,,,,,
1,RI,False,False,False,False,-71.23313,True,acres,0.38999081726354,FOR_SALE,-1,41.530296,USA,2,1096,0 Bayberry Rd,False,False,2062388503,FOR_SALE,False,{'is_FSBA': True},Portsmouth,499900,SINGLE_FAMILY,USD,02871,499900,,2885.0,526700.0,,,,,,,,,,,
2,RI,False,False,False,False,-71.192825,True,acres,0.33000459136823,FOR_SALE,-1,41.673626,USA,3,1308,11 A Connell St,False,False,66011519,FOR_SALE,False,{'is_FSBA': True},Tiverton,300000,SINGLE_FAMILY,USD,02878,300000,192200.0,2843.0,,-50000.0,1694588400000.0,"$50,000 (Sep 13)",,,,,,,,
2,RI,False,False,False,False,-71.75965,True,acres,0.68900367309458,FOR_SALE,-1,41.916225,USA,2,1872,111 Lake Washington Dr,False,False,65894132,FOR_SALE,False,{'is_FSBA': True},Glocester,389900,SINGLE_FAMILY,USD,02814,389900,212900.0,,,,,,,,,,,,,
2,RI,False,False,False,False,-71.63988,True,acres,2.0899908172635,FOR_SALE,-1,41.88911,USA,4,1580,177 Chestnut Oak Rd,False,False,66067058,FOR_SALE,False,{'is_bankOwned': True},Glocester,230100,SINGLE_FAMILY,USD,02814,230100,243000.0,2805.0,402100.0,,,,,,,,,,,
2,RI,False,False,False,False,-71.475655,True,acres,1.014,FOR_SALE,-1,41.647907,USA,3,1868,435 Middle Rd,False,False,65930956,FOR_SALE,False,{'is_FSBA': True},East Greenwich,450000,SINGLE_FAMILY,USD,02818,450000,311300.0,3214.0,476800.0,,,,,,,,,,,
1,RI,False,False,False,False,-71.34478,True,sqft,8800.0,FOR_SALE,-1,41.7609,USA,2,924,30 Sachem Rd,False,False,66054987,FOR_SALE,False,{'is_FSBA': True},Riverside,299900,SINGLE_FAMILY,USD,02915,299900,167900.0,,,,,,,,,,,,,
1,RI,False,False,False,False,-71.40227,True,acres,0.38000459136823,FOR_SALE,-1,41.818363,USA,2,850,17 Bridge St #C,False,False,2057542035,FOR_SALE,False,{'is_FSBA': True},Providence,499900,SINGLE_FAMILY,USD,02903,499900,,2100.0,,,,,# C,,,,,,,
2,RI,False,False,False,False,-71.44794,True,sqft,4980.0,FOR_SALE,-1,41.785225,USA,3,1376,93 Jordan Ave,False,False,66021342,FOR_SALE,False,{'is_FSBA': True},Cranston,339900,SINGLE_FAMILY,USD,02910,339900,211700.0,2429.0,359800.0,,,,,,,,,,,
1,RI,False,False,False,False,-71.50672,True,sqft,7405.0,FOR_SALE,-1,41.686195,USA,3,1008,17 Jacques St,False,False,65901371,FOR_SALE,False,{'is_FSBA': True},West Warwick,319000,SINGLE_FAMILY,USD,02893,319000,184600.0,,,,,,,,,,,,,
2,RI,False,False,False,False,-71.63469,True,acres,3.0199954086318,FOR_SALE,-1,41.859985,USA,3,1802,809 Tourtellot Hill Rd,False,False,65817887,FOR_SALE,False,{'is_FSBA': True},Glocester,525000,SINGLE_FAMILY,USD,02857,525000,295000.0,2999.0,533800.0,,,,,,,,,,,
